,ScripCode,TradingSymbol,Description,InstrumentType
183,14745,ADVANIHOTR-EQ,ADVANI HOT.& RES.(I) LTD,0
184,18039,ADVENZYMES-EQ,ADVANCED ENZYME TECH LTD,0
185,40,AEGISLOG-EQ,AEGIS LOGISTICS LIMITED,0
186,18268,AEROFLEX-EQ,AEROFLEX INDUSTRIES LTD,0
187,25065,AERON-SM,AERON COMPOSITE LIMITED,0
188,24830,AESTHETIK-SM,AESTHETIK ENGINEERS LTD,0
189,9810,AETHER-EQ,AETHER INDUSTRIES LIMITED,0
190,25977,AFCONS-EQ,AFCONS INFRASTRUCTURE LTD,0
191,11343,AFFLE-EQ,AFFLE (INDIA) LIMITED,0
192,25855,AFFORDABLE-EQ,AFFORD ROBO & AUTO LTD,0
193,24159,AFIL-EQ,AKME FINTRADE (INDIA) LTD,0
194,3389,AGARIND-EQ,AGARWAL INDS CORP LTD.,0
195,14263,AGARWALFT-SM,AGARWAL FLOAT GLASS I LTD,0
196,27309,AGARWALTUF-SM,AGARWAL TOUGH GLASS IND L,0
197,1412,AGI-EQ,AGI GREENPAC LIMITED,0
198,24445,AGIIL-EQ,AGI INFRA LIMITED,0
199,10491,AGNI-SM,AGNI GREEN POWER LTD,0
200,11072,AGRITECH-EQ,AGRI-TECH (INDIA) LIMITED,0
201,9046,AGROPHOS-EQ,AGRO PHOS INDIA LIMITED,0
202,7927,AGSTRA-EQ,AGS TRANSACT TECH LTD,0
203,15147,AGUL-SM,A G UNIVERSAL LIMITED,0
204,10770,AHIMSA-ST,AHIMSA INDUSTRIES LTD.,0
205,13288,AHL-EQ,ABANS HOLDINGS LIMITED,0
206,2004,AHLADA-EQ,AHLADA ENGINEERS LIMITED,0
207,19438,AHLEAST-EQ,ASIAN HOTELS (EAST) LTD,0
208,17833,AHLUCONT-EQ,AHLUWALIA CONT IND LTD,0
209,13086,AIAENG-EQ,AIA ENGINEERING LIMITED,0
210,23553,AIIL-EQ,AUTHUM INVEST & INFRA LTD,0
211,4654,AILIMITED-ST,ABHISHEK INTEGRATIONS LTD,0
212,23984,AIMTRON-SM,AIMTRON ELECTRONICS LTD,0
213,9897,AIRAN-EQ,AIRAN LIMITED,0
214,6068,AIROLAM-EQ,AIRO LAM LIMITED,0
215,6435,AIRTELPP-E1,AIRTEL RS. 1.25 PPD UP,0
216,482,AISL-SM,ANI INTEGRATED SERV LTD.,0
217,8124,AJANTPHARM-EQ,AJANTA PHARMA LIMITED,0
218,17307,AJMERA-EQ,AJMERA REALTY & INF I LTD,0
219,3403,AJOONI-EQ,AJOONI BIOTECH LIMITED,0
220,21132,AKANKSHA-ST,AKANKSHA POWER N INFRA L,0
221,13510,AKASH-EQ,AKASH INFRA-PROJECTS LTD,0
222,2176,AKG-EQ,AKG EXIM LIMITED,0
223,14895,AKI-BE,AKI INDIA LIMITED,0
224,24304,AKIKO-SM,AKIKO GLOBAL SERVICES L,0
225,9560,AKSHAR-BE,AKSHAR SPINTEX LIMITED,0
226,20178,AKSHARCHEM-EQ,AKSHARCHEM INDIA LIMITED,0
227,8595,AKSHOPTFBR-BE,AKSH OPTIFIBRE  LTD,0
228,24715,AKUMS-EQ,AKUMS DRUGS AND PHARMA L,0
229,1467,AKZOINDIA-EQ,AKZO NOBEL INDIA LIMITED,0
230,9921,ALANKIT-EQ,ALANKIT LIMITED,0
231,17256,ALBERTDAVD-EQ,ALBERT DAVID LIMITED,0
232,79,ALEMBICLTD-EQ,ALEMBIC LIMITED,0
233,13656,ALICON-EQ,ALICON CASTALLOY LIMITED,0
234,5265,ALIVUS-EQ,ALIVUS LIFE SCIENCES LTD,0
235,16959,ALKALI-EQ,ALKALI METALS LTD,0
236,11703,ALKEM-EQ,ALKEM LABORATORIES LTD.,0
237,4487,ALKYLAMINE-EQ,ALKYL AMINES CHEM. LTD,0
238,13501,ALLCARGO-EQ,ALLCARGO LOGISTICS LTD,0
239,11798,ALLDIGI-EQ,ALLDIGI TECH LIMITED,0
240,13212,ALLETEC-ST,ALL E TECHNOLOGIES LTD,0
241,16723,ALMONDZ-BE,ALMONDZ GLOBAL SEC LTD,0
242,17675,ALOKINDS-EQ,ALOK INDUSTRIES LIMITED,0
243,14848,ALPA-EQ,ALPA LABORATORIES LTD,0
244,22688,ALPEXSOLAR-SM,ALPEX SOLAR LIMITED,0
245,7412,ALPHA-EQ,KOTAKMAMC - KOTAKALPHA,0
246,19640,ALPHAETF-EQ,MIRAEAMC - ALPHAETF,0
247,14597,ALPHAGEO-EQ,ALPHAGEO (INDIA) LIMITED,0
248,22344,ALPL30IETF-EQ,ICICIPRAMC - ICICIALPLV,0
249,7623,ALPSINDUS-BE,ALPS INDUSTRIES LTD.,0
250,23474,ALUWIND-SM,ALUWIND ARCHITECTURAL LTD,0
251,4084,AMBANIORGO-ST,AMBANI ORGOCHEM LIMITED,0
252,1185,AMBER-EQ,AMBER ENTERPRISES (I) LTD,0
253,24415,AMBEY-SM,AMBEY LABORATORIES LTD,0
254,11496,AMBICAAGAR-EQ,AMBICA AGAR & AROMAINDLTD,0
255,15234,AMBIKCO-EQ,AMBIKA COTTON MILL LTD.,0
256,1270,AMBUJACEM-EQ,AMBUJA CEMENTS LTD,0
257,14398,AMDIND-EQ,AMD INDUSTRIES LIMITED,0
258,10898,AMEYA-SM,AMEYA PRECISION ENG LTD,0
259,11939,AMIABLE-SM,AMIABLE LOGISTICS (I) LTD,0
260,5578,AMIORG-EQ,AMI ORGANICS LIMITED,0
261,2598,AMJLAND-EQ,AMJ LAND HOLDINGS LIMITED,0
262,1354,AMJUMBO-ST,A AND M JUMBO BAGS LTD,0
263,19867,AMNPLST-EQ,AMINES & PLASTICIZERS LTD,0
264,17547,AMRUTANJAN-EQ,AMRUTAJAN HEALTH LTD,0
265,7145,ANANDRATHI-EQ,ANAND RATHI WEALTH LTD,0
266,13620,ANANTRAJ-EQ,ANANT RAJ LIMITED,0
267,166,ANDHRAPAP-EQ,ANDHRA PAPER LIMITED,0
268,136,ANDHRSUGAR-EQ,ANDHRA SUGARS LTD,0
269,324,ANGELONE-EQ,ANGEL ONE LIMITED,0
270,16657,ANIKINDS-EQ,ANIK INDUSTRIES LTD,0
271,13657,ANLON-SM,ANLON TECHNOLOGY SOL LTD,0
272,3727,ANMOL-EQ,ANMOL INDIA LIMITED,0
273,11198,ANNAPURNA-SM,ANNAPURNA SWADISHT LTD,0
274,5194,ANTGRAPHIC-EQ,ANTARCTICA LTD,0
275,28314,ANUHPHR-EQ,ANUH PHARMA LIMITED,0
276,9014,ANUP-EQ,THE ANUP ENGINEERING LTD,0
277,2829,ANURAS-EQ,ANUPAM RASAYAN INDIA LTD,0
